run_id,opportunity_key,boundary_thesis_key,support_group_key,symbol,side,event_key,event_time,first_candidate_time,last_candidate_time,candidate_record_count,candidate_ids,families,subtypes,candidate_roles,best_eligibility,eligible_candidate_count,representative_candidate_id,representative_candidate_role,representative_family,representative_subtype,representative_eligible_time,alias_double_counting_prevented,source_boundary_status,source_boundary_resolution,source_boundary_resolution_basis,config_version
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:6906c2c0b7ac8321ee1629f1,BOUNDARY_THESIS:7387e021b7d1db2f396b67c8,OPPORTUNITY:6906c2c0b7ac8321ee1629f1,COFORGE,BUY,BOUNDARY_EVENT:4de047bf3982ee4fe5ff0826,2026-07-20 10:18:00+05:30,2026-07-20 10:21:00+05:30,2026-07-20 10:21:00+05:30,1,INIT:COFORGE:6f6cf6df627f8321d01fa787,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,EARLY_INITIATION,WATCH,0,INIT:COFORGE:6f6cf6df627f8321d01fa787,EARLY_INITIATION,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,,False,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:a967fc7c38367e57d02e994d,BOUNDARY_THESIS:7387e021b7d1db2f396b67c8,OPPORTUNITY:a967fc7c38367e57d02e994d,COFORGE,SELL,BOUNDARY_EVENT:4de047bf3982ee4fe5ff0826,2026-07-20 10:18:00+05:30,2026-07-20 10:30:00+05:30,2026-07-20 10:30:00+05:30,1,FAIL:COFORGE:dca69b70aec88414b9cab089,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,FAILED_RESOLUTION_ENTRY,WATCH,0,FAIL:COFORGE:dca69b70aec88414b9cab089,FAILED_RESOLUTION_ENTRY,FAILED_BREAKOUT,COUNTERTREND_FAILED_AUCTION,,False,FAILED,FAILED,DEEP_REENTRY_INSIDE_HOLD,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:d08ac201a30da83616242232,BOUNDARY_THESIS:bbbce8fc58494d5941cd64da,OPPORTUNITY:d08ac201a30da83616242232,COFORGE,SELL,BOUNDARY_EVENT:5f6177dc5a09fbd5dd568ccf,2026-07-20 10:36:00+05:30,2026-07-20 10:36:00+05:30,2026-07-20 10:42:00+05:30,3,INIT:COFORGE:f697e2375630036c2b0c9d86|ACCEPT:COFORGE:eb7b8289905258cb0d18f1a9|CONT:COFORGE:02889b578f05f3cae574e47a,BREAKOUT_INITIATION|ACCEPTED_BREAKOUT|CONTINUATION,FRESH_EXPANSION_INITIATION|FRESH_ACCEPTANCE|BOUNDARY_CONTINUATION_ACCEPTANCE,EARLY_INITIATION|ACCEPTED_RESOLUTION_ENTRY|CONTINUATION_INTERPRETATION,WATCH,0,INIT:COFORGE:f697e2375630036c2b0c9d86,EARLY_INITIATION,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,,True,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:ff4dc016c250bffcfe6a6a0c,BOUNDARY_THESIS:2cb05d3666f9de9f43206be8,OPPORTUNITY:ff4dc016c250bffcfe6a6a0c,COFORGE,SELL,BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39,2026-07-20 11:27:00+05:30,2026-07-20 11:42:00+05:30,2026-07-20 11:48:00+05:30,3,INIT:COFORGE:77c4b7bd03b6dcb104cbdaf3|ACCEPT:COFORGE:eaa05407fa70961d5ecc1003|CONT:COFORGE:7a9261902c07d5950de9efa7,BREAKOUT_INITIATION|ACCEPTED_BREAKOUT|CONTINUATION,CONTINUATION_INITIATION|CONTINUATION_ACCEPTANCE|BOUNDARY_CONTINUATION_ACCEPTANCE,EARLY_INITIATION|ACCEPTED_RESOLUTION_ENTRY|CONTINUATION_INTERPRETATION,ELIGIBLE,2,ACCEPT:COFORGE:eaa05407fa70961d5ecc1003,ACCEPTED_RESOLUTION_ENTRY,ACCEPTED_BREAKOUT,CONTINUATION_ACCEPTANCE,2026-07-20 11:48:00+05:30,True,ACCEPTED,ACCEPTED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:cb2a60d05268a83ca2c3c673,BOUNDARY_THESIS:48280f730b2dee2059dcc5a9,OPPORTUNITY:cb2a60d05268a83ca2c3c673,COFORGE,BUY,BOUNDARY_EVENT:8db88fbf81cbf748cc069156,2026-07-20 12:39:00+05:30,2026-07-20 12:39:00+05:30,2026-07-20 12:39:00+05:30,1,INIT:COFORGE:8e68dd131158a11ec3cf97dd,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,EARLY_INITIATION,WATCH,0,INIT:COFORGE:8e68dd131158a11ec3cf97dd,EARLY_INITIATION,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,,False,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:0a53b4aa1ca546493f2873ef,BOUNDARY_THESIS:48280f730b2dee2059dcc5a9,OPPORTUNITY:0a53b4aa1ca546493f2873ef,COFORGE,SELL,BOUNDARY_EVENT:8db88fbf81cbf748cc069156,2026-07-20 12:39:00+05:30,2026-07-20 12:45:00+05:30,2026-07-20 12:45:00+05:30,1,FAIL:COFORGE:168ffa83b66720be3a60b001,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,FAILED_RESOLUTION_ENTRY,WATCH,0,FAIL:COFORGE:168ffa83b66720be3a60b001,FAILED_RESOLUTION_ENTRY,FAILED_BREAKOUT,TREND_ALIGNED_FAILED_AUCTION,,False,FAILED,FAILED,DIRECTIONAL_FOLLOWTHROUGH,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:7303ea1c5bf2a730e9058011,BOUNDARY_THESIS:ccddba9bd1adfd49d58c3071,OPPORTUNITY:7303ea1c5bf2a730e9058011,COFORGE,BUY,BOUNDARY_EVENT:ef4488e8b9e296abd9ddb528,2026-07-20 12:57:00+05:30,2026-07-20 12:57:00+05:30,2026-07-20 13:03:00+05:30,3,INIT:COFORGE:5fcb0b65283d5545f0613cce|ACCEPT:COFORGE:21a6c81c026c323c3fede34e|CONT:COFORGE:5a891e88a31563d75b3b9876,BREAKOUT_INITIATION|ACCEPTED_BREAKOUT|CONTINUATION,FRESH_EXPANSION_INITIATION|FRESH_ACCEPTANCE|BOUNDARY_CONTINUATION_ACCEPTANCE,EARLY_INITIATION|ACCEPTED_RESOLUTION_ENTRY|CONTINUATION_INTERPRETATION,WATCH,0,INIT:COFORGE:5fcb0b65283d5545f0613cce,EARLY_INITIATION,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,,True,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:67320573e60c11e85223294b,BOUNDARY_THESIS:6b633dca9612167bb76d6c77,OPPORTUNITY:67320573e60c11e85223294b,COFORGE,BUY,BOUNDARY_EVENT:024358f8f1b44fdcecc7cc28,2026-07-20 14:12:00+05:30,2026-07-20 14:12:00+05:30,2026-07-20 14:18:00+05:30,3,INIT:COFORGE:ef30c03172121c6c1d328694|ACCEPT:COFORGE:00b0ceb74941b22f8d9e626d|CONT:COFORGE:a7049640a70c0478ee54a1c5,BREAKOUT_INITIATION|ACCEPTED_BREAKOUT|CONTINUATION,CONTINUATION_INITIATION|CONTINUATION_ACCEPTANCE|BOUNDARY_CONTINUATION_ACCEPTANCE,EARLY_INITIATION|ACCEPTED_RESOLUTION_ENTRY|CONTINUATION_INTERPRETATION,WATCH,0,INIT:COFORGE:ef30c03172121c6c1d328694,EARLY_INITIATION,BREAKOUT_INITIATION,CONTINUATION_INITIATION,,True,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,OPPORTUNITY:941af366bb0d6af950fbe697,BOUNDARY_THESIS:67e8cc752fc36f8a4dd66230,OPPORTUNITY:941af366bb0d6af950fbe697,COFORGE,SELL,BOUNDARY_EVENT:f7d3c895772b49f83c111f11,2026-07-20 15:00:00+05:30,2026-07-20 15:00:00+05:30,2026-07-20 15:06:00+05:30,3,INIT:COFORGE:4fa0d0152d559674dc9428bf|ACCEPT:COFORGE:3420428a2b405630a459391e|CONT:COFORGE:95441536d490cbc294a8139f,BREAKOUT_INITIATION|ACCEPTED_BREAKOUT|CONTINUATION,FRESH_EXPANSION_INITIATION|FRESH_ACCEPTANCE|BOUNDARY_CONTINUATION_ACCEPTANCE,EARLY_INITIATION|ACCEPTED_RESOLUTION_ENTRY|CONTINUATION_INTERPRETATION,WATCH,0,INIT:COFORGE:4fa0d0152d559674dc9428bf,EARLY_INITIATION,BREAKOUT_INITIATION,FRESH_EXPANSION_INITIATION,,True,OUTSIDE_ATTEMPT,UNRESOLVED,,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
